"2b" "410" "aer" "2965" "kzn" "2990" "" 0 "cr2"
"2b" "410" "asf" "2966" "kzn" "2990" "" 0 "cr2"
"2b" "410" "asf" "2966" "mrv" "2962" "" 0 "cr2"
"2b" "410" "cek" "2968" "kzn" "2990" "" 0 "cr2"
"2b" "410" "cek" "2968" "ovb" "4078" "" 0 "cr2"
"2b" "410" "dme" "4029" "kzn" "2990" "" 0 "cr2"
"2b" "410" "dme" "4029" "nbc" "6969" "" 0 "cr2"
"2b" "410" "dme" "4029" "tgk" NA "" 0 "cr2"
"2b" "410" "dme" "4029" "uua" "6160" "" 0 "cr2"
"2b" "410" "ego" "6156" "kgd" "2952" "" 0 "cr2"
"2b" "410" "ego" "6156" "kzn" "2990" "" 0 "cr2"
"2b" "410" "gyd" "2922" "nbc" "6969" "" 0 "cr2"
"2b" "410" "kgd" "2952" "ego" "6156" "" 0 "cr2"
"2b" "410" "kzn" "2990" "aer" "2965" "" 0 "cr2"
"2b" "410" "kzn" "2990" "asf" "2966" "" 0 "cr2"
"2b" "410" "kzn" "2990" "cek" "2968" "" 0 "cr2"
"2b" "410" "kzn" "2990" "dme" "4029" "" 0 "cr2"
"2b" "410" "kzn" "2990" "ego" "6156" "" 0 "cr2"
"2b" "410" "kzn" "2990" "led" "2948" "" 0 "cr2"
"2b" "410" "kzn" "2990" "svx" "2975" "" 0 "cr2"
"2b" "410" "led" "2948" "kzn" "2990" "" 0 "cr2"
"2b" "410" "led" "2948" "nbc" "6969" "" 0 "cr2"
"2b" "410" "led" "2948" "uua" "6160" "" 0 "cr2"
"2b" "410" "mrv" "2962" "asf" "2966" "" 0 "cr2"
"2b" "410" "nbc" "6969" "dme" "4029" "" 0 "cr2"
"2b" "410" "nbc" "6969" "gyd" "2922" "" 0 "cr2"
"2b" "410" "nbc" "6969" "led" "2948" "" 0 "cr2"
"2b" "410" "nbc" "6969" "svx" "2975" "" 0 "cr2"
"2b" "410" "njc" "2972" "svx" "2975" "" 0 "cr2"
"2b" "410" "njc" "2972" "uua" "6160" "" 0 "cr2"
"2b" "410" "nux" "4364" "svx" "2975" "" 0 "cr2"
"2b" "410" "ovb" "4078" "cek" "2968" "" 0 "cr2"
"2b" "410" "ovb" "4078" "svx" "2975" "" 0 "cr2"
"2b" "410" "svx" "2975" "kzn" "2990" "" 0 "cr2"
"2b" "410" "svx" "2975" "nbc" "6969" "" 0 "cr2"
"2b" "410" "svx" "2975" "njc" "2972" "" 0 "cr2"
"2b" "410" "svx" "2975" "nux" "4364" "" 0 "cr2"
"2b" "410" "svx" "2975" "ovb" "4078" "" 0 "cr2"
"2b" "410" "tgk" NA "dme" "4029" "" 0 "cr2"
